1,X,0.093145,0.233195,0.032791,-0.046525,0.007431,-0.449194,0.016269,0.104000,-0.097228,-0.014324,0.031496,-0.003015,-0.035091,0.013365,0.045662,0.010008,0.044824,-0.006177,0.019370,
1,Y,-0.024956,0.042984,-0.100390,-0.046178,0.009309,-0.265656,0.416375,-0.046056,-0.010354,-0.006823,0.030617,-0.007756,-0.007115,-0.001627,-0.038578,0.005431,-0.010050,0.028705,0.032118,
1,Z,0.237486,-0.249550,0.009041,-0.158101,-0.035858,-0.044637,-0.087958,0.220129,0.075633,-0.025653,-0.177050,0.007983,-0.065275,0.011606,0.156313,-0.045369,0.029015,0.075847,0.066397,
2,X,0.100103,0.249548,0.019828,-0.042029,0.009701,-0.497500,0.077555,0.077515,-0.103051,-0.013617,0.031007,-0.003758,-0.032002,0.010999,0.049351,0.010174,0.040583,-0.002744,0.018335,
2,Y,-0.039994,0.004428,-0.101113,-0.045560,0.011385,-0.214335,0.408442,-0.054819,0.008198,-0.001880,0.014149,-0.007596,-0.009759,-0.002405,-0.029541,0.003025,-0.007961,0.033240,0.032096,
2,Z,0.298715,-0.252158,0.021556,-0.131609,-0.032532,-0.102044,-0.066601,0.183405,0.067495,-0.036030,-0.191548,0.010881,-0.054601,0.007525,0.178426,-0.049700,0.022609,0.077239,0.048972,
3,X,0.101521,0.259729,0.003986,-0.039569,0.012672,-0.538900,0.144235,0.051434,-0.105823,-0.011326,0.029945,-0.004553,-0.029654,0.008758,0.050743,0.009979,0.036469,0.001812,0.018543,
3,Y,-0.073782,-0.036842,-0.101163,-0.040603,0.014226,-0.135718,0.387806,-0.065429,0.029612,0.007496,0.005087,-0.007735,-0.010510,-0.002846,-0.031175,0.002338,-0.006170,0.034575,0.030831,
3,Z,0.346259,-0.259861,0.026254,-0.111169,-0.023928,-0.143691,-0.039832,0.146514,0.060560,-0.043523,-0.190414,0.012577,-0.047179,0.005615,0.177442,-0.052229,0.020592,0.079942,0.036071,
4,X,0.078557,0.221583,0.024527,-0.056855,0.009623,-0.446837,0.034774,0.108591,-0.089210,-0.013335,0.029746,-0.004497,-0.041877,0.014502,0.045103,0.010864,0.050405,-0.001621,0.025959,
4,Y,-0.061474,0.022419,-0.094916,-0.052069,0.006942,-0.186682,0.377299,-0.026219,-0.000492,-0.004718,0.036532,-0.007137,-0.007984,0.000218,-0.055866,0.005927,-0.010508,0.023993,0.034735,
